label_hyperonyme,relation,label_hyponyme
sign and symptom,hyponyme,prodromal symptom
equipment and supply,hyponyme,microsphere
rna splicing factor,hyponyme,ribonucleoprotein u5 small nuclear
salicylanilide,hyponyme,niclosamide
bone morphogenetic protein,hyponyme,bone morphogenetic protein 1
enzyme inhibitor,hyponyme,nucleic acid synthesis inhibitor
azole,hyponyme,thiazole
religion,hyponyme,buddhism
housing,hyponyme,almshouse
gram - positive endospore - form rod,hyponyme,micromonosporaceae
mixed function oxygenase,hyponyme,fatty acid desaturase
neurodegenerative disease,hyponyme,lewy body disease
colonoscopy,hyponyme,sigmoidoscopy
middle east,hyponyme,iran
prosthesis implantation,hyponyme,maxillofacial prosthesis implantation
trauma nervous system,hyponyme,spinal cord injury
gram - negative aerobic rod and cocci,hyponyme,azorhizobium
radiation dosage,hyponyme,relative biological effectiveness
hygiene,hyponyme,hand hygiene
candida,hyponyme,candida parapsilosis
sepsis,hyponyme,parasitemia
polycomb repressive complex 2,hyponyme,enhancer of zeste homolog 2 protein
gram - negative anaerobic bacteria,hyponyme,gram - negative anaerobic straight curved and helical rod
oligonucleotides,hyponyme,oligodeoxyribonucleotides
infection,hyponyme,bone disease infectious
salivary gland,hyponyme,submandibular gland
minichromosome maintenance protein,hyponyme,minichromosome maintenance complex component 8
epithelial cell,hyponyme,hek293 cell
pupil disorder,hyponyme,miosis
fasciolidae,hyponyme,fasciola
anti - infective agent,hyponyme,anti - infective agent local
complement system protein,hyponyme,complement inactivator protein
estrous cycle,hyponyme,anestrus
vital statistic,hyponyme,pregnancy rate
cyanoacrylate,hyponyme,enbucrilate
pancreatitis,hyponyme,pancreatitis graft
sarcoma,hyponyme,sarcoma experimental
child behavior,hyponyme,problem behavior
phosphoprotein,hyponyme,cortactin
organelles,hyponyme,endoplasmic reticulum
bacterial transferrin receptor complex,hyponyme,transferrin - bind protein a
ethic,hyponyme,ethic institutional
galactosyltransferase,hyponyme,lactose synthase
biochemical phenomena,hyponyme,biocatalysis
complex mixture,hyponyme,soil
facial nerve disease,hyponyme,bell palsy
pharmacological and toxicological phenomenon,hyponyme,toxicological phenomenon
goiter,hyponyme,goiter nodular
pinaceae,hyponyme,abie
aspirin,hyponyme,aspirin dipyridamole drug combination
somatosensory disorder,hyponyme,paresthesia
immunologic technique,hyponyme,immunohistochemistry
hemostasis,hyponyme,platelet activation
model anatomic,hyponyme,dental model
biocompatible material,hyponyme,polydioxanone
allied health personnel,hyponyme,dental auxiliaries
stomatognathic disease,hyponyme,ankyloglossia
receptor cell surface,hyponyme,receptor guanylate cyclase - couple
insect protein,hyponyme,vitellogenin
intercellular signal peptide and protein,hyponyme,nerve growth factor
liver disease,hyponyme,budd - chiari syndrome
polyradiculoneuropathy,hyponyme,polyradiculoneuropathy chronic inflammatory demyelinating
nucleoside diphosphate sugar,hyponyme,guanosine diphosphate sugars
nephrosis,hyponyme,nephrosis lipoid
tick - borne disease,hyponyme,relapse fever
keratitis,hyponyme,acanthamoeba keratitis
bacterial secretion system,hyponyme,type ii secretion system
benzoxazole,hyponyme,calcimycin
datum accuracy,hyponyme,scientific experimental error
genetic phenomenon,hyponyme,gene expression regulation
anion,hyponyme,carbonate
receptor fc,hyponyme,receptors igg
mortality,hyponyme,maternal mortality
religion,hyponyme,religious mission
south america,hyponyme,paraguay
pathological condition anatomical,hyponyme,blister
oxidoreductase n - demethylating,hyponyme,ethylmorphine - n - demethylase
birth setting,hyponyme,home childbirth
tendinopathy,hyponyme,enthesopathy
biochemical phenomena,hyponyme,peptide biosynthesis
gram - negative aerobic rod and cocci,hyponyme,neisseriaceae
health service accessibility,hyponyme,health facility environment
dentistry,hyponyme,school dentistry
cell surface extension,hyponyme,dendrite
zingiberaceae,hyponyme,alpinia
criminal psychology,hyponyme,lie detection
bridge bicyclo compounds,hyponyme,biperiden
multifunctional enzyme,hyponyme,mitochondrial trifunctional protein
colchicine,hyponyme,demecolcine
publication component,hyponyme,architectural drawing
skin disease genetic,hyponyme,dyskeratosis congenita
phosphoprotein,hyponyme,fanconi anemia complementation group g protein
neoplasms complex and mixed,hyponyme,mixed tumor mullerian
education special,hyponyme,mainstreame ( education )
massage,hyponyme,manual lymphatic drainage
receptor angiotensin,hyponyme,receptor angiotensin type 1
joint disease,hyponyme,osteoarthropathy primary hypertrophic
clinical trial,hyponyme,clinical trial phase iii
psychiatry,hyponyme,forensic psychiatry
sign and symptom respiratory,hyponyme,hypocapnia
receptor g - protein - couple,hyponyme,receptor bombesin
amino acid oxidoreductase,hyponyme,nitric oxide synthase
asthma,hyponyme,asthma aspirin - induce
solute carrier protein,hyponyme,glucose transport protein facilitative
torpor,hyponyme,estivation
lens crystalline,hyponyme,lens cortex crystalline
evoked potential motor,hyponyme,vestibular evoke myogenic potential
dental prophylaxis,hyponyme,dental scale
muscular dystrophy,hyponyme,walker - warburg syndrome
gram - positive asporogenous rod irregular,hyponyme,propionibacteriaceae
pteridaceae,hyponyme,pteris
gastrointestinal absorption,hyponyme,rectal absorption
dihydropyridines,hyponyme,3-pyridinecarboxylic acid 14-dihydro-26-dimethyl-5-nitro-4-(2-(trifluoromethyl)phenyl)- methyl ester
mortality,hyponyme,mortality premature
chemical phenomena,hyponyme,permeability
biogenic amine,hyponyme,biogenic monoamine
carboxylic acid,hyponyme,acids carbocyclic
amphibian protein,hyponyme,xenopus protein
dentistry,hyponyme,dentistry operative
receptor serotonin 5-ht1,hyponyme,receptor serotonin 5-ht1a
phenethylamine,hyponyme,ritodrine
pregnadiene,hyponyme,canrenoic acid
purine,hyponyme,purinones
esophagitis,hyponyme,esophagitis peptic
cytochrome p-450 enzyme system,hyponyme,steroid hydroxylase
thyroid disease,hyponyme,thyroid neoplasms
brain disease,hyponyme,intracranial hypertension
necrobiotic disorder,hyponyme,granuloma annulare
congenital hereditary and neonatal disease and abnormality,hyponyme,infant newborn disease
chemical fractionation,hyponyme,liquid - liquid extraction
diffusion magnetic resonance imaging,hyponyme,diffusion tensor imaging
telecommunication,hyponyme,telemedicine
dysgammaglobulinemia,hyponyme,iga deficiency
triamcinolone,hyponyme,triamcinolone acetonide
united states public health service,hyponyme,united states indian health service
science,hyponyme,system integration
professional staff committee,hyponyme,pharmacy and therapeutic committee
insurance physician service,hyponyme,medicare assignment
biopolymer,hyponyme,microtubule protein
preventive health service,hyponyme,immunization program
transcaucasia,hyponyme,azerbaijan
biological phenomenon,hyponyme,remission spontaneous
dna virus infection,hyponyme,adenoviridae infection
chromatography gas,hyponyme,gas chromatography - mass spectrometry
communication,hyponyme,teach - back communication
larynx,hyponyme,laryngeal mucosa
lactobacillus,hyponyme,lactobacillus helveticus
steroid hydroxylase,hyponyme,cholesterol side - chain cleavage enzyme
metalloexopeptidase,hyponyme,leucyl aminopeptidase
receptor natural killer cell,hyponyme,receptor nk cell lectin - like
beverage,hyponyme,alcoholic beverage
integrin beta chain,hyponyme,integrin beta4
adenocarcinoma,hyponyme,carcinoma hepatocellular
hydroxybenzoates,hyponyme,hydroxymercuribenzoate
pyrimidine nucleotide,hyponyme,cytosine nucleotide
hepatitis d,hyponyme,hepatitis d chronic
health care economic and organization,hyponyme,state medicine
genome components,hyponyme,intersperse repetitive sequence
ethanol,hyponyme,blood alcohol content
purinones,hyponyme,hypoxanthine
antigen viral,hyponyme,epstein - barr virus nuclear antigen
cathepsin,hyponyme,cathepsin w
biochemical phenomena,hyponyme,hydroxylation
carboxypeptidase,hyponyme,carboxypeptidase a
tetrahydroisoquinoline,hyponyme,trabectedin
annonaceae,hyponyme,annona
cholic acid,hyponyme,deoxycholic acid
actin depolymerizing factor,hyponyme,destrin
vesicular transport protein,hyponyme,auxilins
pathologic process,hyponyme,acantholysis
autoimmune disease,hyponyme,addison disease
carrier protein,hyponyme,calcium - bind protein
gene,hyponyme,gene suppressor
nose,hyponyme,nasal bone
rhizobiaceae,hyponyme,rhizobium
nad ( + ) and nadp ( + ) dependent alcohol oxidoreductase,hyponyme,3-oxoacyl-(acyl - carrier - protein ) reductase
technology,hyponyme,educational technology
library service,hyponyme,interlibrary loan
potassium channel,hyponyme,potassium channel inwardly rectify
heart disease,hyponyme,ventricular dysfunction
globins,hyponyme,hemoglobins
hematologic test,hyponyme,osmotic fragility
cladocera,hyponyme,daphnia
gene products pol,hyponyme,pol gene product human immunodeficiency virus
muscle skeletal,hyponyme,back muscle
endoscope,hyponyme,hysteroscope
ascomycota,hyponyme,hypocreales
ethanolamine,hyponyme,norepinephrine
anthracenes,hyponyme,anthraquinone
disorder of sex development,hyponyme,gonadal dysgenesis
caprifoliaceae,hyponyme,symphoricarpos
babesia,hyponyme,babesia microti
oil,hyponyme,oil volatile
sarcoma,hyponyme,fibrosarcoma
hypersensitivity immediate,hyponyme,asthma aspirin - induce
surgical equipment,hyponyme,surgical attire
egf family of protein,hyponyme,heparin - bind egf - like growth factor
esterase,hyponyme,ribonuclease
coated vesicle,hyponyme,clathrin - coat vesicle
cardiovascular surgical procedure,hyponyme,cardiac surgical procedure
education continue,hyponyme,education pharmacy continue
apocynaceae,hyponyme,hoodia
insulin - like growth factor bind protein,hyponyme,insulin - like growth factor bind protein 1
dog disease,hyponyme,distemper
death,hyponyme,brain death
diskectomy,hyponyme,diskectomy percutaneous
cochlea,hyponyme,spiral ganglion
behavior animal,hyponyme,consummatory behavior
receptor g - protein - couple,hyponyme,frizzle receptor
publication format,hyponyme,essay
anxiety disorder,hyponyme,neurocirculatory asthenia
indolequinone,hyponyme,pyrroloiminoquinone
bacterial infection,hyponyme,spirochaetale infection
dna repair - deficiency disorder,hyponyme,cockayne syndrome
cecal neoplasm,hyponyme,appendiceal neoplasm
phosphoprotein,hyponyme,retinoblastoma - like protein p107
recreation,hyponyme,gardening
phenethylamine,hyponyme,butoxamine
butyrophenone,hyponyme,spiperone
receptor cytokine,hyponyme,receptor colony - stimulate factor
encephalitis viral,hyponyme,subacute sclerosing panencephalitis
larva migrans,hyponyme,larva migrans visceral
cytochrome p450 family 26,hyponyme,retinoic acid 4-hydroxylase
acyltransferase,hyponyme,sterol o - acyltransferase
neuron,hyponyme,adrenergic neuron
estrene,hyponyme,equilenin
silicone,hyponyme,silicone oil
lysosomal storage disease nervous system,hyponyme,sphingolipidose
contraception,hyponyme,coitus interruptus
neoplasms cystic mucinous and serous,hyponyme,adenocarcinoma mucinous
endolymphatic hydrop,hyponyme,meniere disease
annexins,hyponyme,annexin a7
vaccine combine,hyponyme,diphtheria - tetanus - acellular pertussis vaccine
color agent,hyponyme,hair dye
hypersensitivity immediate,hyponyme,respiratory hypersensitivity
wound and injury,hyponyme,crush injury
carnitine acyltransferase,hyponyme,carnitine o - palmitoyltransferase
coliphage,hyponyme,leviviridae
socioenvironmental therapy,hyponyme,milieu therapy
pyrimidine,hyponyme,dasatinib
rehabilitation center,hyponyme,substance abuse treatment center
eye disease,hyponyme,ocular hypotension
tissue inhibitor of metalloproteinase,hyponyme,tissue inhibitor of metalloproteinase-1
pharmaceutic aids,hyponyme,adjuvants pharmaceutic
patient care,hyponyme,prenatal care
chemistry technique analytical,hyponyme,deuterium exchange measurement
receptor interleukin-9,hyponyme,interleukin receptor common gamma subunit
amphetamine,hyponyme,34-methylenedioxyamphetamine
lung injury,hyponyme,radiation pneumonitis
insurance health,hyponyme,medical saving account
pancreatic neoplasm,hyponyme,carcinoma islet cell
desoxycorticosterone,hyponyme,18-hydroxydesoxycorticosterone
dihydroxyphenylalanine,hyponyme,methyldopa
twist transcription factor,hyponyme,twist - relate protein 2
quaternary ammonium compound,hyponyme,methacholine compounds
euglena,hyponyme,euglena longa
gram - positive asporogenous rod irregular,hyponyme,acetobacterium
carbon dioxide,hyponyme,dry ice
oligopeptide,hyponyme,dipeptide
tar,hyponyme,coal tar
protein structure tertiary,hyponyme,protein domain
phenoxypropanolamine,hyponyme,betaxolol
international agency,hyponyme,united nations
pancreas,hyponyme,pancreatic duct
hospital information system,hyponyme,medical order entry system
aneurysm,hyponyme,aneurysm false
mustelidae,hyponyme,otter
primary prevention,hyponyme,immunization
htlv - i infection,hyponyme,paraparesis tropical spastic
bretylium compound,hyponyme,bretylium tosylate
kidney tubules,hyponyme,bowman capsule
sodium compound,hyponyme,sodium nitrite
bile duct neoplasm,hyponyme,common bile duct neoplasm
autoimmune disease of the nervous system,hyponyme,demyelinate autoimmune disease cn
saline water,hyponyme,seawater
diagnostic use of chemical,hyponyme,radiopharmaceutical
molar,hyponyme,molar third
fusobacterium infection,hyponyme,gingivitis necrotize ulcerative
pigment biological,hyponyme,bile pigment
stage - specific embryonic antigen,hyponyme,lewis x antigen
transfusion reaction,hyponyme,transfusion - relate acute lung injury
child health service,hyponyme,maternal - child health service
flavonoid,hyponyme,chalcone
myoblast,hyponyme,myoblast smooth muscle
animal disease,hyponyme,foot - and - mouth disease
piperazines,hyponyme,quipazine
asteraceae,hyponyme,stevia
genitalia,hyponyme,gonad
comprehensive health care,hyponyme,progressive patient care
skin physiological phenomenon,hyponyme,piloerection
neoplasms cystic mucinous and serous,hyponyme,carcinoma mucoepidermoid
parakeet,hyponyme,psittacula
magnetic resonance imaging,hyponyme,magnetic resonance angiography
history,hyponyme,alchemy
rosaceae,hyponyme,eriobotrya
adrenocortical hyperfunction,hyponyme,cushing syndrome
ovarian disease,hyponyme,ovarian neoplasm
lipid,hyponyme,glyceride
wound and injury,hyponyme,radiation injury
brucella,hyponyme,brucella canis
interneuron,hyponyme,amacrine cell
glycyrrhetinic acid,hyponyme,carbenoxolone
methylglycosides,hyponyme,methylgalactoside
prosthesis and implant,hyponyme,blood vessel prosthesis
acridone,hyponyme,acronine
beverage,hyponyme,teas medicinal
albumin,hyponyme,serum albumin
pathologic process,hyponyme,emphysema
nicotinic acid,hyponyme,piromidic acid
health personnel,hyponyme,nurse
anterior chamber,hyponyme,endothelium corneal
dementia,hyponyme,aids dementia complex
gram - positive bacterial infection,hyponyme,bifidobacteriales infection
manage care program,hyponyme,competitive medical plan
mardivirus,hyponyme,herpesvirus 1 meleagrid
piperidones,hyponyme,thalidomide
cerebrovascular disorder,hyponyme,leukomalacia periventricular
peripheral nervous system agent,hyponyme,neuromuscular agent
carcinoma,hyponyme,nasopharyngeal carcinoma
microbiological phenomena,hyponyme,host microbial interaction
diagnostic technique respiratory system,hyponyme,laryngoscopy
protein,hyponyme,intracellular signaling peptide and protein
health occupation,hyponyme,orthoptic
rna transfer,hyponyme,rna transfer amino acid - specific
peptoid,hyponyme,n - substitute glycine
education,hyponyme,education predental
enzyme,hyponyme,isoenzyme
insurance health,hyponyme,insurance vision
medulla oblongata,hyponyme,area postrema
radiation tolerance,hyponyme,dose - response relationship radiation
nuclear energy,hyponyme,nuclear fusion
reproduction,hyponyme,gametogenesis
amidohydrolase,hyponyme,penicillin amidase
diagnostic technique cardiovascular,hyponyme,laser - doppl flowmetry
infusion parenteral,hyponyme,infusion intraosseous
cyclin - dependent kinase inhibitor protein,hyponyme,cyclin - dependent kinase inhibitor p27
lens capsule crystalline,hyponyme,posterior capsule of the lens
geography medical,hyponyme,topography medical
acetyltransferase,hyponyme,amino - acid n - acetyltransferase
androstanols,hyponyme,dihydrotestosterone
rna nucleotidyltransferases,hyponyme,polyribonucleotide nucleotidyltransferase
informatics,hyponyme,medical informatics
benzofurans,hyponyme,fura-2
hypoalphalipoproteinemias,hyponyme,lecithin cholesterol acyltransferase deficiency
health facility,hyponyme,rehabilitation center
ubiquitin - protein ligase,hyponyme,receptor autocrine motility factor
eikenella,hyponyme,eikenella corrodens
genetic technique,hyponyme,restriction mapping
statistic as topic,hyponyme,spatial analysis
paranasal sinus,hyponyme,ethmoid sinus
dietary supplement,hyponyme,probiotic
agenesis of corpus callosum,hyponyme,holoprosencephaly
optical phenomena,hyponyme,iridescence
chondroitin sulfate proteoglycan,hyponyme,decorin
poly - adp - ribose bind protein,hyponyme,heat shock transcription factor
reproductive physiological phenomenon,hyponyme,pregnancy trimesters
betaproteobacteria,hyponyme,nitrosomonadaceae
pituitary gland,hyponyme,pituitary gland anterior
tick - borne disease,hyponyme,kyasanur forest disease
cerebrovascular disorder,hyponyme,intracranial hemorrhage
heat - shock protein small,hyponyme,hsp27 heat - shock protein
asia western,hyponyme,pakistan
ischemic preconditioning,hyponyme,ischemic precondition myocardial
thrombophilia,hyponyme,protein c deficiency
solute carrier protein,hyponyme,dopamine plasma membrane transport protein
sugar phosphate,hyponyme,inositol phosphates
adenoviridae infection,hyponyme,hepatitis infectious canine
sign and symptom digestive,hyponyme,abdominal pain
public health,hyponyme,radiologic health
neoplasms neuroepithelial,hyponyme,neurocytoma
epithelial cell,hyponyme,vero cell
urodela,hyponyme,salamandridae
benzoate,hyponyme,mercuribenzoate
publication format,hyponyme,newspaper article
sign and symptom,hyponyme,renal colic
neisseria,hyponyme,neisseria elongata
anti - hiv agent,hyponyme,ccr5 receptor antagonist
ophthalmoscopy,hyponyme,retinoscopy
endothelins,hyponyme,endothelin-3
spirurida,hyponyme,spirurina
body weight,hyponyme,birth weight
cytochrome p-450 enzyme system,hyponyme,cytochrome p450 family 1
poaceae,hyponyme,millets
inorganic chemical,hyponyme,gas
vibrionaceae,hyponyme,vibrio
halobacteriale,hyponyme,halobacteriaceae
phosphoric diester hydrolase,hyponyme,glycerophosphoinositol inositolphosphodiesterase
resins plant,hyponyme,turpentine
epidemiologic research design,hyponyme,meta - analysis as topic
bone screw,hyponyme,pedicle screws
physiological effect of drug,hyponyme,galactogogue
bone remodeling,hyponyme,bone regeneration
yeast,hyponyme,lipomyce
ventral striatum,hyponyme,nucleus accumbens
radiotherapy,hyponyme,lymphatic irradiation
muscle skeletal,hyponyme,hamstre muscle
magnoliopsida,hyponyme,lamiales
communication,hyponyme,diffusion of innovation
morphogenesis,hyponyme,body pattern
drug therapy,hyponyme,drug misuse
fatty liver,hyponyme,reye syndrome
nm23 nucleoside diphosphate kinase,hyponyme,nucleoside diphosphate kinase d
gtp - bind protein,hyponyme,gtp phosphohydrolase - link elongation factor
peptide hormone,hyponyme,secretin
pyrimidine,hyponyme,trapidil
plant virus,hyponyme,geminiviridae
benzhydryl compound,hyponyme,terfenadine
respiratory insufficiency,hyponyme,infantile apparent life - threaten event
cranial nerve injury,hyponyme,glossopharyngeal nerve injury
alkaloid,hyponyme,mescaline
lactobacillaceae,hyponyme,lactobacillus
plant component aerial,hyponyme,plant stem
animal assist therapy,hyponyme,equine - assist therapy
aniline compounds,hyponyme,benzenaminium 44'-(3-oxo-15-pentanediyl)bis(nn - dimethyl - n-2-propenyl- ) dibromide
occupational group,hyponyme,lawyer
sanitary engineering,hyponyme,water softening
deltaretrovirus antigen,hyponyme,htlv - i antigen
respiratory tract neoplasm,hyponyme,lung neoplasm
forensic medicine,hyponyme,dermatoglyphic
carbon - nitrogen ligase,hyponyme,formate - tetrahydrofolate ligase
ribonucleoprotein,hyponyme,telomerase
genetic disease inborn,hyponyme,dwarfism
receptor melanocortin,hyponyme,receptor melanocortin type 3
cystatin,hyponyme,cystatin b
population surveillance,hyponyme,public health surveillance
sensation,hyponyme,taste
peptide hormone,hyponyme,peptide yy
benzothiazole,hyponyme,riluzole
retinoblastoma bind protein,hyponyme,retinoblastoma - bind protein 2
tissue,hyponyme,surgically - create structure
oleaceae,hyponyme,jasminum
apoptosis regulatory protein,hyponyme,proto - oncogene protein c - bcl-2
angiography,hyponyme,cineangiography
